Industry,Current_Trend,Women_Engagement_Level,Future_Potential
Creative,Freelancing Boom,High,Very High
E-Commerce,Women in Finance,High,High
Health,Freelancing Boom,High,Very High
Tech,Green Energy Startups,High,Very High
Social Impact,Freelancing Boom,Low,Medium
Business,Mental Health Awareness,Low,Medium
Creative,Freelancing Boom,Medium,Medium
E-Commerce,Subscription-Based Models,High,Medium
Education,AI in Business,Medium,High
Health,AI in Business,Medium,High
Finance,Freelancing Boom,Medium,Very High
Social Impact,Subscription-Based Models,Low,Medium
Social Impact,Remote Work Growth,Low,Very High
Social Impact,Green Energy Startups,High,Medium
Creative,Subscription-Based Models,Medium,Very High
Business,Personalized Learning,Medium,Very High
Creative,Mental Health Awareness,High,High
Creative,Remote Work Growth,High,High
Education,Mental Health Awareness,High,Very High
Education,Mental Health Awareness,Low,Very High
Social Impact,Women in Finance,High,Medium
Business,Sustainable Fashion,Low,Medium
Tech,Freelancing Boom,High,High
Business,Remote Work Growth,Low,Medium
Creative,Sustainable Fashion,High,Very High
Wellness,Women in Finance,Low,Medium
Social Impact,Mental Health Awareness,Low,High
Tech,Subscription-Based Models,Low,Very High
Creative,Mental Health Awareness,Low,Very High
Finance,AI in Business,High,Medium
Social Impact,Women in Finance,Low,High
E-Commerce,Mental Health Awareness,Medium,Very High
E-Commerce,Women in Finance,High,Medium
Wellness,Personalized Learning,High,High
E-Commerce,Sustainable Fashion,High,High
E-Commerce,Mental Health Awareness,Low,High
Health,Sustainable Fashion,Medium,Medium
E-Commerce,Freelancing Boom,Medium,Medium
Health,Remote Work Growth,High,High
Business,Subscription-Based Models,Low,Medium
Health,AI in Business,Medium,Very High
Education,Subscription-Based Models,Medium,Medium
Finance,Green Energy Startups,Medium,High
Business,Remote Work Growth,Medium,Medium
Wellness,AI in Business,Medium,High
E-Commerce,AI in Business,Low,High
Finance,Mental Health Awareness,Low,Very High
Tech,Personalized Learning,Low,High
Finance,Personalized Learning,Medium,Medium
Social Impact,Sustainable Fashion,High,Very High
Education,Subscription-Based Models,High,Very High
E-Commerce,Mental Health Awareness,High,Medium
Creative,Women in Finance,Low,Very High
E-Commerce,Women in Finance,Medium,Very High
Social Impact,Personalized Learning,Low,High
Education,Personalized Learning,Medium,High
Creative,Mental Health Awareness,Medium,Medium
E-Commerce,Green Energy Startups,High,Very High
Health,Sustainable Fashion,Medium,High
Wellness,Green Energy Startups,Medium,High
Creative,Freelancing Boom,High,Medium
Creative,Sustainable Fashion,High,High
Business,Green Energy Startups,High,Medium
Social Impact,Sustainable Fashion,Medium,Medium
Creative,Green Energy Startups,Medium,High
Tech,Freelancing Boom,Low,Very High
Creative,Personalized Learning,Low,Very High
Social Impact,Personalized Learning,High,Medium
E-Commerce,AI in Business,Medium,Very High
Finance,Personalized Learning,High,Medium
Creative,Remote Work Growth,High,Very High
Wellness,Remote Work Growth,Medium,Medium
Tech,Subscription-Based Models,Low,Very High
Creative,Mental Health Awareness,High,Very High
E-Commerce,AI in Business,Low,High
Social Impact,Freelancing Boom,Low,Very High
Wellness,Remote Work Growth,Medium,Very High
Social Impact,Personalized Learning,Low,High
Creative,Mental Health Awareness,Low,Medium
Creative,AI in Business,High,Very High
Business,Personalized Learning,Medium,Very High
Education,Sustainable Fashion,Low,High
Tech,Sustainable Fashion,Medium,High
Finance,Freelancing Boom,Medium,Very High
E-Commerce,AI in Business,Medium,High
Education,Women in Finance,Low,High
Education,Women in Finance,Low,Medium
Wellness,Mental Health Awareness,Medium,Medium
E-Commerce,Women in Finance,Medium,Medium
Social Impact,Remote Work Growth,High,Medium
Creative,Sustainable Fashion,High,Very High
Tech,Subscription-Based Models,Low,High
Health,Freelancing Boom,Low,Medium
Tech,AI in Business,High,Very High
Creative,Personalized Learning,Medium,High
Finance,Green Energy Startups,Low,High
Finance,Remote Work Growth,Medium,Medium
Tech,Green Energy Startups,High,High
Finance,Mental Health Awareness,Medium,Medium
Social Impact,Freelancing Boom,High,Very High
E-Commerce,Remote Work Growth,Medium,Medium
Wellness,AI in Business,Medium,Very High
Social Impact,Green Energy Startups,Low,High
Tech,Remote Work Growth,Medium,Medium
Wellness,Mental Health Awareness,Medium,Very High
Health,Remote Work Growth,High,Medium
Education,Remote Work Growth,Medium,High
Wellness,Personalized Learning,Medium,Very High
Creative,AI in Business,High,Very High
Wellness,AI in Business,Low,High
Social Impact,Women in Finance,Medium,Medium
Wellness,Remote Work Growth,Low,High
Business,Personalized Learning,High,Very High
Business,Women in Finance,Medium,Medium
Creative,Personalized Learning,Low,Very High
E-Commerce,Remote Work Growth,Medium,Medium
Social Impact,Personalized Learning,Medium,Very High
E-Commerce,Women in Finance,Low,High
Creative,Personalized Learning,Low,Very High
Business,Personalized Learning,High,High
Wellness,Subscription-Based Models,Medium,High
Finance,AI in Business,Medium,Very High
Social Impact,Freelancing Boom,High,Very High
Social Impact,Green Energy Startups,Low,High
Tech,Personalized Learning,High,High
Health,Remote Work Growth,Low,Medium
Education,Sustainable Fashion,Medium,Very High
Creative,Sustainable Fashion,Low,Medium
E-Commerce,Sustainable Fashion,Medium,High
Finance,Personalized Learning,Low,Very High
Finance,Green Energy Startups,Medium,High
Wellness,Women in Finance,Low,Medium
Business,Personalized Learning,Low,Very High
E-Commerce,Green Energy Startups,Low,Very High
Business,Sustainable Fashion,High,High
Health,AI in Business,High,Very High
Social Impact,Remote Work Growth,Medium,Very High
Social Impact,Remote Work Growth,Low,Very High
Creative,Sustainable Fashion,Low,Very High
Business,Green Energy Startups,Medium,Very High
Education,Subscription-Based Models,Low,Very High
Social Impact,Freelancing Boom,High,High
E-Commerce,Remote Work Growth,Low,High
Business,Green Energy Startups,Low,High
Business,Remote Work Growth,Low,Medium
Health,AI in Business,Low,Medium
Wellness,Subscription-Based Models,Medium,High
Business,Mental Health Awareness,High,High
Creative,AI in Business,High,Very High
E-Commerce,Freelancing Boom,Medium,Very High
Business,Green Energy Startups,Medium,Medium
Business,Mental Health Awareness,Medium,Very High
Wellness,Freelancing Boom,Medium,High
Health,Mental Health Awareness,Low,Very High
Wellness,Sustainable Fashion,Medium,High
Business,Mental Health Awareness,Medium,Medium
Social Impact,Freelancing Boom,Low,Very High
Wellness,Green Energy Startups,Medium,High
Wellness,Subscription-Based Models,High,Medium
Tech,Remote Work Growth,Low,Very High
Social Impact,Subscription-Based Models,High,Very High
Tech,Green Energy Startups,Low,Very High
Education,Sustainable Fashion,Medium,Medium
Business,Subscription-Based Models,High,Very High
Wellness,Remote Work Growth,Low,Medium
Wellness,Mental Health Awareness,High,High
Health,Green Energy Startups,Low,Very High
Tech,Remote Work Growth,High,Medium
Creative,Subscription-Based Models,Medium,Very High
E-Commerce,Green Energy Startups,Low,Medium
Social Impact,Green Energy Startups,High,High
Creative,Freelancing Boom,Low,Very High
Creative,Green Energy Startups,High,Medium
Business,Remote Work Growth,Low,Very High
Creative,Subscription-Based Models,Low,High
Creative,Freelancing Boom,Low,High
E-Commerce,AI in Business,Medium,Very High
Education,Sustainable Fashion,Low,Medium
Education,Women in Finance,Low,High
Wellness,AI in Business,Medium,Medium
Business,Subscription-Based Models,Low,High
Social Impact,Sustainable Fashion,Medium,Very High
Creative,Green Energy Startups,High,High
Wellness,Women in Finance,Low,Very High
Finance,AI in Business,Low,High
Creative,AI in Business,Low,High
Tech,Subscription-Based Models,High,Medium
Tech,Mental Health Awareness,Medium,Very High
Business,Personalized Learning,Low,High
Tech,Subscription-Based Models,High,Very High
Tech,AI in Business,High,High
Finance,Personalized Learning,High,Medium
Tech,Sustainable Fashion,Medium,Very High
Creative,Mental Health Awareness,Low,High
Health,Mental Health Awareness,Low,High
Health,Sustainable Fashion,High,Very High
Education,Remote Work Growth,Medium,Medium
Education,Mental Health Awareness,Low,High
Business,AI in Business,High,Medium
E-Commerce,Sustainable Fashion,Medium,Medium
Wellness,Personalized Learning,Medium,Medium
Finance,Sustainable Fashion,Low,Very High
Creative,Sustainable Fashion,Low,Medium
Wellness,Mental Health Awareness,Medium,High
Social Impact,Women in Finance,High,Medium
Wellness,Freelancing Boom,Medium,Very High
Social Impact,Freelancing Boom,High,High
Finance,Subscription-Based Models,Medium,Medium
Business,Sustainable Fashion,Low,High
Wellness,Mental Health Awareness,Medium,Very High
Finance,Sustainable Fashion,High,High
Business,Freelancing Boom,High,Very High
E-Commerce,Personalized Learning,High,Medium
Tech,Women in Finance,Medium,Medium
Health,Women in Finance,High,Medium
Wellness,Women in Finance,Medium,High
Social Impact,Green Energy Startups,High,Very High
Tech,Freelancing Boom,High,Very High
Finance,AI in Business,Medium,High
Social Impact,Subscription-Based Models,High,High
Education,Personalized Learning,Low,High
Wellness,Subscription-Based Models,High,Medium
Finance,Remote Work Growth,High,High
Finance,Sustainable Fashion,Low,Very High
Creative,Personalized Learning,High,High
Education,Personalized Learning,Low,Very High
Business,Sustainable Fashion,High,Medium
Education,Women in Finance,Medium,High
Wellness,Sustainable Fashion,High,Medium
Tech,Women in Finance,Low,Medium
Business,Personalized Learning,High,Very High
Creative,Sustainable Fashion,High,Medium
Wellness,Personalized Learning,High,Medium
Tech,Mental Health Awareness,High,Medium
Wellness,Mental Health Awareness,Low,Medium
Tech,Mental Health Awareness,Medium,High
Social Impact,Subscription-Based Models,Low,Very High
Social Impact,Sustainable Fashion,High,Medium
Tech,Freelancing Boom,Low,Very High
Creative,Freelancing Boom,Low,Very High
Tech,Mental Health Awareness,Low,Very High
Wellness,Sustainable Fashion,High,Medium
Health,Women in Finance,Low,High
Wellness,Remote Work Growth,Medium,Very High
Finance,Personalized Learning,Medium,High
Finance,AI in Business,Medium,Medium
Finance,Remote Work Growth,Medium,Very High
Health,Women in Finance,High,High
Tech,Green Energy Startups,Medium,Very High
Health,Personalized Learning,Medium,Very High
Health,Women in Finance,Low,Medium
Wellness,Mental Health Awareness,High,High
Finance,Women in Finance,High,Medium
Business,AI in Business,Medium,Very High
Finance,Women in Finance,Low,High
Creative,Women in Finance,Low,Very High
Education,AI in Business,High,High
Health,Personalized Learning,High,Very High
Education,Women in Finance,High,Very High
Creative,Green Energy Startups,Medium,High
Finance,Sustainable Fashion,Medium,Very High
E-Commerce,Remote Work Growth,Medium,Very High
Wellness,AI in Business,High,High
Wellness,Sustainable Fashion,Medium,Medium
Education,Women in Finance,Medium,Medium
Finance,Subscription-Based Models,Medium,Medium
Finance,Green Energy Startups,Low,High
Wellness,Subscription-Based Models,High,High
Health,Personalized Learning,Medium,High
E-Commerce,Women in Finance,High,High
Business,Green Energy Startups,Low,High
Health,Subscription-Based Models,Medium,High
Education,Mental Health Awareness,Medium,Very High
Tech,Subscription-Based Models,Low,Medium
Wellness,Freelancing Boom,Medium,Very High
Social Impact,Personalized Learning,High,High
E-Commerce,Sustainable Fashion,Low,Very High
Creative,Remote Work Growth,High,Medium
Creative,Women in Finance,Low,High
Health,Remote Work Growth,Low,Medium
Health,Women in Finance,Low,Very High
Finance,Sustainable Fashion,Medium,Very High
Creative,Mental Health Awareness,Low,Very High
Health,Sustainable Fashion,Medium,High
Health,Mental Health Awareness,Medium,High
Finance,Freelancing Boom,Low,High
Social Impact,Women in Finance,Low,Medium
Wellness,Green Energy Startups,Medium,High
Tech,AI in Business,Medium,Medium
Wellness,Green Energy Startups,Medium,High
Education,Sustainable Fashion,Low,Medium
E-Commerce,Subscription-Based Models,Low,High
Creative,Personalized Learning,Medium,Very High
Finance,AI in Business,Low,Medium
Finance,Women in Finance,Low,High
Social Impact,Mental Health Awareness,Medium,Very High
Business,Mental Health Awareness,Low,Medium
Business,Green Energy Startups,High,Very High
Creative,Freelancing Boom,Medium,Very High
Creative,Green Energy Startups,Low,High
Education,Remote Work Growth,Low,Medium
Social Impact,Green Energy Startups,High,Very High
Social Impact,Mental Health Awareness,Low,Medium
Social Impact,Mental Health Awareness,Low,Medium
E-Commerce,Green Energy Startups,Low,High
Social Impact,Subscription-Based Models,Low,Medium
Health,Freelancing Boom,Low,Very High
Social Impact,Green Energy Startups,Medium,Very High
Wellness,Subscription-Based Models,Low,High
Wellness,AI in Business,High,Medium
Tech,Mental Health Awareness,Low,High
Health,Women in Finance,High,Very High
Education,Women in Finance,Low,Medium
E-Commerce,Remote Work Growth,Medium,High
Social Impact,Subscription-Based Models,Medium,High
Tech,Remote Work Growth,Medium,High
Education,Sustainable Fashion,High,High
Social Impact,Freelancing Boom,Medium,Medium
Tech,AI in Business,Low,Medium
Education,Freelancing Boom,Medium,Very High
Business,Sustainable Fashion,Low,High
Creative,Sustainable Fashion,Medium,Very High
Business,AI in Business,High,Very High
E-Commerce,Sustainable Fashion,Medium,Medium
E-Commerce,Green Energy Startups,High,Very High
Finance,Women in Finance,High,Medium
Creative,Subscription-Based Models,Low,Very High
Social Impact,Freelancing Boom,Medium,High
Education,Sustainable Fashion,Low,Medium
Business,Subscription-Based Models,Medium,Very High
Health,Women in Finance,High,Medium
E-Commerce,Women in Finance,High,High
Creative,Personalized Learning,Medium,High
Creative,Remote Work Growth,Low,Very High
Tech,Subscription-Based Models,High,Very High
Finance,Personalized Learning,Low,Very High
Education,Green Energy Startups,High,Medium
Finance,Green Energy Startups,Low,Medium
Social Impact,Freelancing Boom,Low,High
Social Impact,Green Energy Startups,Low,Medium
Finance,Green Energy Startups,High,Very High
Creative,Mental Health Awareness,High,High
E-Commerce,Green Energy Startups,High,High
Business,Subscription-Based Models,Medium,Medium
Finance,Green Energy Startups,Low,Very High
Creative,Sustainable Fashion,Low,Medium
Education,Mental Health Awareness,Low,Medium
Creative,Personalized Learning,Low,High
Wellness,Green Energy Startups,Low,High
Wellness,Sustainable Fashion,Low,Medium
Tech,Freelancing Boom,High,Medium
Social Impact,Sustainable Fashion,Low,High
Business,Green Energy Startups,Medium,Very High
Finance,Personalized Learning,Medium,Very High
Creative,Green Energy Startups,Low,High
Education,Remote Work Growth,High,Very High
Wellness,Mental Health Awareness,Low,High
E-Commerce,Personalized Learning,Medium,Very High
Education,Women in Finance,High,High
Business,Green Energy Startups,Low,Very High
Social Impact,Sustainable Fashion,Low,High
Health,AI in Business,High,Medium
Business,Freelancing Boom,Low,Medium
Business,Green Energy Startups,High,Very High
Business,AI in Business,High,Very High
Education,Sustainable Fashion,High,High
Social Impact,Mental Health Awareness,Medium,Medium
Business,Subscription-Based Models,High,Very High
Education,Sustainable Fashion,Medium,Medium
Wellness,Sustainable Fashion,Low,High
Education,Women in Finance,Low,High
E-Commerce,Freelancing Boom,High,Very High
E-Commerce,Women in Finance,High,Very High
Wellness,Mental Health Awareness,Medium,Very High
Education,Subscription-Based Models,High,Very High
Creative,Sustainable Fashion,High,Very High
Finance,Green Energy Startups,Low,Very High
Creative,AI in Business,High,Medium
Health,Remote Work Growth,Low,High
Tech,Subscription-Based Models,Low,High
Health,Sustainable Fashion,Low,Very High
Creative,Sustainable Fashion,Medium,High
Wellness,AI in Business,Medium,Medium
Education,Freelancing Boom,Low,Medium
E-Commerce,Women in Finance,High,Very High
E-Commerce,Green Energy Startups,Medium,High
Health,Women in Finance,Medium,Medium
Social Impact,Mental Health Awareness,Low,Very High
Education,Green Energy Startups,Medium,High
Health,Mental Health Awareness,High,High
Health,Women in Finance,High,High
Finance,Personalized Learning,High,Medium
Wellness,Women in Finance,Medium,High
Finance,Remote Work Growth,Medium,Medium
Health,Women in Finance,Medium,High
Finance,Mental Health Awareness,High,Medium
Wellness,Green Energy Startups,High,Medium
Business,Subscription-Based Models,High,Medium
Creative,Women in Finance,Medium,Very High
Education,Green Energy Startups,Low,Medium
Health,AI in Business,Medium,Medium
Tech,Remote Work Growth,Medium,Very High
Tech,Remote Work Growth,High,High
Finance,AI in Business,High,Medium
Education,Remote Work Growth,Low,High
Business,Freelancing Boom,High,Medium
E-Commerce,Personalized Learning,Medium,High
Health,Green Energy Startups,High,Very High
Social Impact,Women in Finance,High,Medium
Health,Green Energy Startups,Medium,High
E-Commerce,Subscription-Based Models,Medium,High
Tech,Personalized Learning,Medium,Very High
Education,Mental Health Awareness,Low,High
Wellness,Subscription-Based Models,Low,High
Tech,Green Energy Startups,Low,Medium
Tech,AI in Business,Medium,Very High
Education,Green Energy Startups,Medium,Medium
Tech,Personalized Learning,Low,High
Wellness,Remote Work Growth,High,High
Wellness,Subscription-Based Models,Medium,High
Wellness,Remote Work Growth,High,High
Tech,Mental Health Awareness,Low,High
Education,Remote Work Growth,High,Very High
Wellness,Remote Work Growth,Low,Very High
Food,Home-based food businesses booming,High,Very High
Arts & Crafts,Handmade crafts gaining traction online,High,High
Entertainment,Streaming and online music classes growing,Medium,Medium
Health & Wellness,Online yoga & meditation sessions in demand,High,Very High
Education,E-learning & coaching platforms expanding,High,Very High
Technology,AI-driven solutions taking over,Medium,Very High
E-commerce,Subscription box businesses rising,High,High
Sustainable Living,Eco-friendly products becoming mainstream,High,High
Marketing,Influencer marketing taking over ads,Medium,High
Fashion,Slow fashion and handmade clothing trending,High,High
Finance,Crypto & blockchain adoption increasing,Medium,High
Social Media,Short-form content dominating social platforms,High,Very High
Pet Care,Pet care industry witnessing a boom,High,High
Agriculture,Sustainable farming gaining recognition,Medium,High
Mental Health,Mental health awareness & therapy needs rising,High,Very High
Arts & Crafts,Handmade Products Boom,High,Growing
Beauty & Wellness,Organic & Natural Skincare,High,Expanding
Fashion,Sustainable Fashion,Medium,Growing
Event Management,Customized & Luxury Events,High,Stable
Food & Beverage,Home-Based Food Businesses,High,Growing
Retail,Personalized Shopping Experience,Medium,Stable
Family & Parenting,Parenting Workshops & Coaching,High,Expanding
Mental Health,Self-Care & Emotional Wellness,High,Growing
Publishing,Self-Publishing & Digital Storytelling,Medium,Growing
Arts & Crafts,Custom Gifts & Handmade Art,High,Growing
Sustainable Living,Rising interest in sustainable living,Low,High
Education & Tutoring,Rising interest in education & tutoring,Medium,Low
Fashion,Rising interest in fashion,High,Low
Sustainable Living,Rising interest in sustainable living,High,High
Digital Content Creation,Rising interest in digital content creation,Medium,Low
Beauty & Wellness,Rising interest in beauty & wellness,Low,Low
Personal Development,Rising interest in personal development,Low,High
Food & Beverage,Rising interest in food & beverage,Low,High
Food & Beverage,Rising interest in food & beverage,Medium,Low
Food & Beverage,Rising interest in food & beverage,High,High
Sustainable Living,Rising interest in sustainable living,Low,Low
Arts & Crafts,Rising interest in arts & crafts,Medium,Low
Social Work,Rising interest in social work,Low,Low
Pet Care,Rising interest in pet care,Low,High
Personal Development,Rising interest in personal development,Low,Medium
Gardening,Rising interest in gardening,High,Low
Digital Content Creation,Rising interest in digital content creation,High,High
Digital Content Creation,Rising interest in digital content creation,Medium,High
Music & Dance,Rising interest in music & dance,High,Medium
Beauty & Wellness,Rising interest in beauty & wellness,Medium,Low
Food & Beverage,Rising interest in food & beverage,Medium,Medium
Retail,Rising interest in retail,Medium,Low
Retail,Rising interest in retail,High,Low
Sustainable Living,Rising interest in sustainable living,Low,Low
Publishing,Rising interest in publishing,Low,High
Home Decor,Rising interest in home decor,Low,Medium
Event Management,Rising interest in event management,High,Medium
Home Decor,Rising interest in home decor,High,High
Music & Dance,Rising interest in music & dance,High,Medium
Childcare,Rising interest in childcare,High,High
Fitness & Yoga,Rising interest in fitness & yoga,Low,High
Sustainable Living,Rising interest in sustainable living,Medium,Medium
Music & Dance,Rising interest in music & dance,High,Low
Fitness & Yoga,Rising interest in fitness & yoga,High,Medium
Publishing,Rising interest in publishing,Medium,High
Childcare,Rising interest in childcare,Medium,High
Publishing,Rising interest in publishing,Medium,Low
Fitness & Yoga,Rising interest in fitness & yoga,Low,Medium
Retail,Rising interest in retail,High,Medium
Publishing,Rising interest in publishing,High,Low
Arts & Crafts,Rising interest in arts & crafts,Low,High
Fitness & Yoga,Rising interest in fitness & yoga,Low,High
Childcare,Rising interest in childcare,Low,Medium
Social Work,Rising interest in social work,High,High
Beauty & Wellness,Rising interest in beauty & wellness,Low,High
Gardening,Rising interest in gardening,Medium,Medium
Home Decor,Rising interest in home decor,High,Medium
Family & Parenting,Rising interest in family & parenting,High,Low
Beauty & Wellness,Rising interest in beauty & wellness,High,Low
Sustainable Living,Rising interest in sustainable living,Low,High
Publishing,Rising interest in publishing,High,High
Social Work,Rising interest in social work,High,High
Publishing,Rising interest in publishing,Low,High
Digital Content Creation,Rising interest in digital content creation,High,Medium
Digital Content Creation,Rising interest in digital content creation,Low,Medium
Gardening,Rising interest in gardening,High,Low
Family & Parenting,Rising interest in family & parenting,Low,Low
Arts & Crafts,Rising interest in arts & crafts,Low,Low
Family & Parenting,Rising interest in family & parenting,Medium,High
Education & Tutoring,Rising interest in education & tutoring,Medium,Medium
Event Management,Rising interest in event management,High,High
Gardening,Rising interest in gardening,Low,Medium
Food & Beverage,Rising interest in food & beverage,High,Medium
Music & Dance,Rising interest in music & dance,Low,Low
Education & Tutoring,Rising interest in education & tutoring,Low,Medium
Pet Care,Rising interest in pet care,High,High
Personal Development,Rising interest in personal development,Medium,Low
Gardening,Rising interest in gardening,Low,Medium
Beauty & Wellness,Rising interest in beauty & wellness,High,High
Arts & Crafts,Rising interest in arts & crafts,High,Low
Event Management,Rising interest in event management,Low,High
Event Management,Rising interest in event management,Low,High
Arts & Crafts,Rising interest in arts & crafts,Low,Medium
Food & Beverage,Rising interest in food & beverage,Low,High
Food & Beverage,Rising interest in food & beverage,Medium,Low
Social Work,Rising interest in social work,Medium,High
Event Management,Rising interest in event management,Low,Medium
Social Work,Rising interest in social work,Medium,Medium
Education & Tutoring,Rising interest in education & tutoring,Medium,Medium
Home Decor,Rising interest in home decor,Medium,Medium
Gardening,Rising interest in gardening,Low,Low
Gardening,Rising interest in gardening,High,Low
Education & Tutoring,Rising interest in education & tutoring,Low,Medium
